bets,hits,hit_rate,roi,profit,track,feature_set,threshold
439,226,0.5148063781321185,0.5244495064540623,-20876.666666666664,ohi,V2_相対ランク,0.1
384,206,0.5364583333333334,0.5124131944444444,-18723.333333333332,ohi,V2_相対ランク,0.12
284,159,0.5598591549295775,0.5152582159624413,-13766.666666666668,ohi,V2_相対ランク,0.15
1023,469,0.458455522971652,0.5104268491365266,-50083.33333333333,ohi,V3_相対値,0.0
792,377,0.476010101010101,0.5125841750841751,-38603.333333333336,ohi,V3_相対値,0.03
656,322,0.49085365853658536,0.5078252032520324,-32286.66666666667,ohi,V3_相対値,0.05
561,287,0.5115864527629234,0.5228163992869875,-26770.0,ohi,V3_相対値,0.07
429,230,0.5361305361305362,0.5088578088578088,-21070.0,ohi,V3_相対値,0.1
350,187,0.5342857142857143,0.5,-17500.0,ohi,V3_相対値,0.12
260,141,0.5423076923076923,0.5357692307692308,-12070.0,ohi,V3_相対値,0.15
1023,483,0.47214076246334313,0.5629846855653307,-44706.66666666667,ohi,V4_全部入り,0.0
772,381,0.49352331606217614,0.5176597582037996,-37236.66666666667,ohi,V4_全部入り,0.03
653,333,0.5099540581929556,0.5118427769270035,-31876.66666666667,ohi,V4_全部入り,0.05
562,295,0.5249110320284698,0.516073546856465,-27196.666666666668,ohi,V4_全部入り,0.07
425,225,0.5294117647058824,0.5002352941176471,-21240.0,ohi,V4_全部入り,0.1
359,187,0.520891364902507,0.4758588672237697,-18816.666666666668,ohi,V4_全部入り,0.12
272,148,0.5441176470588235,0.4879901960784313,-13926.666666666668,ohi,V4_全部入り,0.15
1023,520,0.5083088954056696,0.5387748452264581,-47183.33333333333,ohi,V5_馬体重枠番,0.0
777,417,0.5366795366795367,0.5238095238095238,-37000.0,ohi,V5_馬体重枠番,0.03
654,356,0.5443425076452599,0.5076452599388379,-32200.0,ohi,V5_馬体重枠番,0.05
556,308,0.5539568345323741,0.5151079136690647,-26960.0,ohi,V5_馬体重枠番,0.07
425,245,0.5764705882352941,0.5421176470588235,-19460.0,ohi,V5_馬体重枠番,0.1
355,205,0.5774647887323944,0.535868544600939,-16476.666666666664,ohi,V5_馬体重枠番,0.12
275,162,0.5890909090909091,0.5372121212121211,-12726.666666666668,ohi,V5_馬体重枠番,0.15
1023,490,0.4789833822091887,0.5216682958618443,-48933.33333333333,ohi,V6_勝率重視,0.0
784,396,0.5051020408163265,0.5188775510204081,-37720.0,ohi,V6_勝率重視,0.03
672,338,0.5029761904761905,0.4698412698412699,-35626.666666666664,ohi,V6_勝率重視,0.05
573,288,0.5026178010471204,0.4700407213496218,-30366.666666666668,ohi,V6_勝率重視,0.07
452,231,0.5110619469026548,0.45663716814159294,-24560.0,ohi,V6_勝率重視,0.1
375,197,0.5253333333333333,0.45102222222222227,-20586.666666666664,ohi,V6_勝率重視,0.12
286,156,0.5454545454545454,0.4466200466200466,-15826.666666666666,ohi,V6_勝率重視,0.15
1023,384,0.375366568914956,0.4780058651026393,-53400.0,ohi,V7_ランク特化,0.0
553,223,0.40325497287522605,0.45762507534659436,-29993.333333333332,ohi,V7_ランク特化,0.03
394,156,0.39593908629441626,0.40854483925549917,-23303.333333333332,ohi,V7_ランク特化,0.05
299,117,0.391304347826087,0.3901895206243033,-18233.333333333332,ohi,V7_ランク特化,0.07
183,75,0.4098360655737705,0.42768670309653917,-10473.333333333332,ohi,V7_ランク特化,0.1
141,62,0.4397163120567376,0.4678486997635934,-7503.333333333333,ohi,V7_ランク特化,0.12
104,43,0.41346153846153844,0.38653846153846155,-6380.0,ohi,V7_ランク特化,0.15
1023,483,0.47214076246334313,0.5629846855653307,-44706.66666666667,ohi,V8_経験値,0.0
772,381,0.49352331606217614,0.5176597582037996,-37236.66666666667,ohi,V8_経験値,0.03
653,333,0.5099540581929556,0.5118427769270035,-31876.66666666667,ohi,V8_経験値,0.05
562,295,0.5249110320284698,0.516073546856465,-27196.666666666668,ohi,V8_経験値,0.07
425,225,0.5294117647058824,0.5002352941176471,-21240.0,ohi,V8_経験値,0.1
359,187,0.520891364902507,0.4758588672237697,-18816.666666666668,ohi,V8_経験値,0.12
272,148,0.5441176470588235,0.4879901960784313,-13926.666666666668,ohi,V8_経験値,0.15
