race_id,race_date,distance,rank,bracket,horse_number,horse_name,horse_id,jockey_name,jockey_id,sex,age,weight_carried,field_size,horse_runs,horse_win_rate,horse_place_rate,horse_show_rate,horse_avg_rank,horse_recent_win_rate,horse_recent_show_rate,horse_recent_avg_rank,last_rank,jockey_win_rate,jockey_place_rate,jockey_show_rate
202444123005,20244412,1600,3.0,2,2,カレーウドン,2021106479,和田譲治,05399,牡,3.0,56.0,14,20,0.0,0.0,0.0,7.15,0.0,0.0,9.2,6,0,0,0
202444123005,20244412,1600,4.0,1,1,サブノフクムスメ,2021104377,達城龍次,05540,牝,3.0,54.0,14,20,0.1,0.15,0.25,5.45,0.2,0.6,4.6,3,0,0,0
202444123005,20244412,1600,5.0,4,6,ベルベットハンマー,2021101473,東原悠善,a01d4,牝,3.0,54.0,14,20,0.0,0.0,0.05,6.7,0.0,0.0,5.8,4,0,0,0
202444123005,20244412,1600,6.0,6,9,ユイノサンバンカン,2021102819,中村尚平,a0260,牡,3.0,56.0,14,20,0.05,0.05,0.1,5.95,0.2,0.2,5.4,6,0,0,0
202444123005,20244412,1600,7.0,5,8,セイバー,2021100766,本田正重,05443,牡,3.0,56.0,14,20,0.1,0.15,0.15,5.1,0.0,0.0,5.8,7,0,0,0
202444123005,20244412,1600,8.0,7,12,パーフィリオン,2021103112,菅原涼太,05612,牝,3.0,54.0,14,20,0.0,0.0,0.0,7.7,0.0,0.0,8.4,11,0,0,0
202444123005,20244412,1600,9.0,4,5,アンダラクリスタル,2021102122,藤本現暉,05590,牝,3.0,54.0,14,16,0.125,0.25,0.3125,5.5625,0.0,0.2,7.0,12,0,0,0
202444123005,20244412,1600,10.0,3,3,コロラドフォンテン,2021101080,江里口裕,a02ad,牡,3.0,56.0,14,20,0.1,0.15,0.4,4.5,0.0,0.2,5.8,8,0,0,0
202444123005,20244412,1600,11.0,8,13,ローザ,2020100901,安藤洋一,a025f,牝,4.0,54.0,14,20,0.0,0.0,0.0,8.6,0.0,0.0,9.0,10,0,0,0
202444123005,20244412,1600,12.0,7,11,タケノゲッコウ,2021100076,町田直希,05455,牝,3.0,54.0,14,20,0.0,0.0,0.0,7.45,0.0,0.0,8.8,8,0,0,0
202444123005,20244412,1600,13.0,6,10,ラインガーラ,2021103703,☆鷹見陸,05665,牡,3.0,55.0,14,20,0.0,0.0,0.0,6.85,0.0,0.0,8.2,6,0,0,0
202444123005,20244412,1600,,5,7,ペルルセレスト,2021104022,阿部龍,05492,牝,3.0,54.0,14,20,0.0,0.0,0.15,6.85,0.0,0.0,9.0,8,0,0,0
202444123008,20244412,1600,1.0,4,5,ルーラーオブダート,2021104871,吉原寛人,05299,牡,3.0,56.0,14,20,0.15,0.15,0.25,7.15,0.0,0.0,9.2,11,0,0,0
202444123008,20244412,1600,2.0,5,7,ブレストサンダー,2020105159,矢野貴之,05380,牡,4.0,56.0,14,20,0.0,0.0,0.0,7.25,0.0,0.0,8.4,9,0,0,0
202444123008,20244412,1600,3.0,6,9,エコロタイタン,2019100424,吉井章,05583,牡,5.0,56.0,14,20,0.0,0.0,0.0,8.35,0.0,0.0,9.2,6,0,0,0
202444123008,20244412,1600,4.0,3,3,フラグランツァ,2020103203,和田譲治,05399,牡,4.0,56.0,14,19,0.0,0.0,0.10526315789473684,5.947368421052632,0.0,0.0,7.8,8,0,0,0
202444123008,20244412,1600,5.0,1,1,ボルドーリスクレス,2021103158,横川怜央,a0278,牡,3.0,56.0,14,20,0.1,0.1,0.2,7.85,0.0,0.0,10.0,12,0,0,0
202444123008,20244412,1600,6.0,4,6,マルヨソウタ,2018109073,達城龍次,05540,牡,6.0,56.0,14,20,0.0,0.0,0.05,6.7,0.0,0.0,6.6,8,0,0,0
202444123008,20244412,1600,7.0,8,13,ブルベアナノ,2017103157,西啓太,a02d7,牡,7.0,56.0,14,20,0.0,0.0,0.0,9.15,0.0,0.0,8.4,8,0,0,0
202444123008,20244412,1600,8.0,7,12,ハヴィティペイ,2018100197,落合玄太,05578,牡,6.0,56.0,14,20,0.0,0.0,0.0,6.65,0.0,0.0,6.2,8,0,0,0
202444123008,20244412,1600,9.0,6,10,クルーミーズクライ,2021102883,△谷内貫太,05650,牡,3.0,54.0,14,20,0.05,0.05,0.05,7.6,0.0,0.0,9.2,7,0,0,0
202444123008,20244412,1600,10.0,3,4,ノブトモ,2021101326,阿部龍,05492,牡,3.0,56.0,14,20,0.1,0.1,0.1,7.9,0.0,0.0,9.8,11,0,0,0
202444123008,20244412,1600,11.0,8,14,ハクアイキセキ,2021106723,野畑凌,05630,牡,3.0,56.0,14,20,0.0,0.05,0.1,8.4,0.0,0.0,9.4,9,0,0,0
202444123008,20244412,1600,12.0,7,11,ジャックアバンティ,2017102756,安藤洋一,a025f,牡,7.0,56.0,14,20,0.0,0.0,0.0,6.65,0.0,0.0,8.4,8,0,0,0
202444123008,20244412,1600,13.0,5,8,ジャガンナート,2020107080,室陽一朗,05651,牡,4.0,56.0,14,20,0.0,0.0,0.0,8.65,0.0,0.0,10.0,12,0,0,0
202444123008,20244412,1600,14.0,2,2,ナンセイスコピオン,2020105058,本田正重,05443,牝,4.0,54.0,14,20,0.05,0.1,0.1,5.9,0.2,0.4,4.0,5,0,0,0
202444123009,20244412,1400,1.0,4,6,ニシケンサク,2021102213,矢野貴之,05380,牡,3.0,56.0,14,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.222222222222222,0.0,0.0,10.2,10,0,0,0
202444123009,20244412,1400,2.0,3,4,ウィンザーバローズ,2021100672,吉井章,05583,牡,3.0,56.0,14,13,0.07692307692307693,0.23076923076923078,0.3076923076923077,6.230769230769231,0.2,0.6,4.8,1,0,0,0
202444123009,20244412,1400,3.0,4,5,キングレガリア,2019104822,達城龍次,05540,セ,5.0,56.0,14,20,0.05,0.15,0.2,6.4,0.0,0.0,8.8,5,0,0,0
202444123009,20244412,1400,4.0,5,8,リッキーフェイス,2021100631,藤田凌,05559,牝,3.0,54.0,14,17,0.0,0.0,0.11764705882352941,7.588235294117647,0.0,0.0,9.4,9,0,0,0
202444123009,20244412,1400,5.0,6,9,ポンテドラーゴ,2019100868,菅原涼太,05612,牡,5.0,56.0,14,20,0.0,0.0,0.0,9.7,0.0,0.0,11.2,8,0,0,0
202444123009,20244412,1400,6.0,6,10,ボクノオクリモノ,2021101861,東原悠善,a01d4,牡,3.0,56.0,14,20,0.15,0.15,0.2,6.3,0.0,0.0,7.4,8,0,0,0
202444123009,20244412,1400,7.0,7,12,サイキョウノオンナ,2019100408,張田昂,05549,牝,5.0,54.0,14,20,0.0,0.0,0.0,8.65,0.0,0.0,8.0,12,0,0,0
202444123009,20244412,1400,8.0,7,11,カッテニシヤガレ,2020107159,藤本現暉,05590,牡,4.0,56.0,14,20,0.0,0.0,0.0,9.35,0.0,0.0,8.2,8,0,0,0
202444123009,20244412,1400,9.0,1,1,ミライヘノメグミ,2021109044,△谷内貫太,05650,牝,3.0,52.0,14,20,0.15,0.15,0.25,6.9,0.0,0.0,9.0,7,0,0,0
202444123009,20244412,1400,10.0,2,2,アチェロイス,2017100800,野畑凌,05630,牝,7.0,54.0,14,20,0.0,0.0,0.05,7.65,0.0,0.2,7.6,3,0,0,0
202444123009,20244412,1400,11.0,8,13,ソーヴキプ,2020100616,小杉亮,a025d,牝,4.0,54.0,14,20,0.0,0.0,0.0,8.15,0.0,0.0,9.4,12,0,0,0
202444123009,20244412,1400,12.0,8,14,シゲルツキミザケ,2019104211,和田譲治,05399,牡,5.0,56.0,14,20,0.0,0.0,0.05,7.4,0.0,0.0,7.8,7,0,0,0
202444123009,20244412,1400,13.0,3,3,ゲイシール,2021104026,仲原大生,05594,牡,3.0,56.0,14,20,0.05,0.15,0.15,6.45,0.2,0.2,6.2,8,0,0,0
202444123009,20244412,1400,14.0,5,7,バズッチ,2020102142,安藤洋一,a025f,牝,4.0,54.0,14,20,0.05,0.05,0.05,8.4,0.0,0.0,10.0,11,0,0,0
202444123001,20244412,1200,1.0,7,12,リンダポッケ,2019105481,矢野貴之,05380,牝,5.0,54.0,14,17,0.35294117647058826,0.5294117647058824,0.5882352941176471,3.0588235294117645,0.0,0.2,5.2,4,0,0,0
202444123001,20244412,1200,2.0,1,1,マーナーパス,2019110028,遠藤健太,a025a,牡,5.0,56.0,14,20,0.35,0.95,0.95,1.75,0.2,0.8,2.2,1,0,0,0
202444123001,20244412,1200,3.0,2,2,プリンセスキアラ,2020104003,△谷内貫太,05650,牝,4.0,52.0,14,20,0.25,0.55,0.75,3.2,0.4,0.8,3.0,3,0,0,0
202444123001,20244412,1200,4.0,8,14,レッドフローガ,2020103124,千田洋,a0277,セ,4.0,56.0,14,20,0.4,0.75,0.95,1.9,0.0,1.0,2.0,2,0,0,0
