bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio,score
90,40,0.4444444444444444,0.8281481481481481,-1546.666666666667,kawasaki,full,0.07,0.6,3.7356599468783984
64,34,0.53125,0.9026041666666668,-623.333333333333,kawasaki,full,0.07,0.7,3.7678193430880933
91,39,0.42857142857142855,0.8007326007326008,-1813.333333333333,kawasaki,full,0.1,0.5,3.6207435272634445
74,34,0.4594594594594595,0.8558558558558558,-1066.666666666667,kawasaki,full,0.1,0.6,3.695147484558103
46,24,0.5217391304347826,0.910144927536232,-413.33333333333303,kawasaki,full,0.1,0.7,3.5041923099621983
73,36,0.4931506849315068,0.8735159817351599,-923.333333333333,kawasaki,full,0.12,0.5,3.759669645342273
63,30,0.47619047619047616,0.8957671957671958,-656.666666666667,kawasaki,full,0.12,0.6,3.7253910371047216
39,21,0.5384615384615384,0.9658119658119658,-133.33333333333348,kawasaki,full,0.12,0.7,3.5627639172211523
62,32,0.5161290322580645,0.9188172043010753,-503.33333333333303,kawasaki,full,0.15,0.5,3.8067834663457685
49,25,0.5102040816326531,1.0210884353741496,103.33333333333303,kawasaki,full,0.15,0.6,3.994521449760304
35,19,0.5428571428571428,1.0104761904761905,36.666666666666515,kawasaki,full,0.15,0.7,3.621060565430412
39,22,0.5641025641025641,1.047863247863248,186.66666666666652,kawasaki,full,0.2,0.5,3.865441205763834
32,15,0.46875,0.8885416666666667,-356.6666666666665,kawasaki,full,0.2,0.6,3.106792656178029
24,13,0.5416666666666666,1.148611111111111,356.6666666666665,kawasaki,full,0.2,0.7,3.697236537730558
231,92,0.39826839826839827,0.8880230880230879,-2586.666666666668,kawasaki,last_rank,0.0,0.5,4.836828540437875
185,78,0.42162162162162165,1.0088288288288287,163.33333333333212,kawasaki,last_rank,0.0,0.6,5.271883896598236
139,52,0.37410071942446044,0.9232613908872902,-1066.666666666666,kawasaki,last_rank,0.0,0.7,4.562427656365904
48,25,0.5208333333333334,1.0694444444444444,333.33333333333303,kawasaki,last_rank,0.03,0.5,4.162085596590531
29,16,0.5517241379310345,1.3517241379310345,1020.0,kawasaki,last_rank,0.03,0.6,4.597480598660569
20,9,0.45,0.9066666666666667,-186.66666666666652,kawasaki,last_rank,0.03,0.7,2.7603670102025704
24,14,0.5833333333333334,1.0680555555555555,163.33333333333348,kawasaki,last_rank,0.05,0.5,3.437938207393953
23,12,0.5217391304347826,1.0231884057971015,53.333333333333485,kawasaki,last_rank,0.05,0.6,3.2517478322110867
14,7,0.5,1.138095238095238,193.33333333333326,kawasaki,last_rank,0.05,0.7,3.082019038397277
10,6,0.6,1.44,440.0,kawasaki,last_rank,0.07,0.5,3.4529691928296535
10,8,0.8,1.79,790.0,kawasaki,last_rank,0.07,0.6,4.292232538309084
6,5,0.8333333333333334,2.138888888888889,683.3333333333333,kawasaki,last_rank,0.07,0.7,4.162085596590531
231,63,0.2727272727272727,0.6645021645021645,-7750.0,kawasaki,jockey,0.0,0.5,3.619368772947093
185,54,0.2918918918918919,0.6718918918918919,-6070.0,kawasaki,jockey,0.0,0.6,3.5111368191489243
139,39,0.2805755395683453,0.679136690647482,-4460.0,kawasaki,jockey,0.0,0.7,3.3560506812540885
231,103,0.4458874458874459,0.918903318903319,-1873.3333333333321,kawasaki,combined,0.0,0.5,5.005025048018913
185,82,0.44324324324324327,0.8758558558558559,-2296.666666666666,kawasaki,combined,0.0,0.6,4.577000825390968
139,64,0.460431654676259,0.8932853717026379,-1483.333333333334,kawasaki,combined,0.0,0.7,4.414296888302076
164,74,0.45121951219512196,0.8308943089430894,-2773.333333333334,kawasaki,combined,0.03,0.5,4.2425010360377176
130,62,0.47692307692307695,0.8533333333333334,-1906.666666666666,kawasaki,combined,0.03,0.6,4.160168382464983
90,48,0.5333333333333333,0.955925925925926,-396.66666666666606,kawasaki,combined,0.03,0.7,4.312047550488885
135,64,0.4740740740740741,0.8609876543209877,-1876.666666666666,kawasaki,combined,0.05,0.5,4.2297352065584235
115,57,0.4956521739130435,0.8776811594202899,-1406.666666666666,kawasaki,combined,0.05,0.6,4.172136550339151
68,37,0.5441176470588235,0.9960784313725489,-26.66666666666697,kawasaki,combined,0.05,0.7,4.217502165363545
110,50,0.45454545454545453,0.8621212121212122,-1516.666666666666,kawasaki,combined,0.07,0.5,4.060185885676845
100,50,0.5,0.8983333333333334,-1016.6666666666661,kawasaki,combined,0.07,0.6,4.145916597629065
51,28,0.5490196078431373,0.9810457516339869,-96.66666666666697,kawasaki,combined,0.07,0.7,3.876350863784786
80,39,0.4875,0.83875,-1290.0,kawasaki,combined,0.1,0.5,3.6858442284815083
76,41,0.5394736842105263,0.9618421052631579,-290.0,kawasaki,combined,0.1,0.6,4.178054951809267
40,22,0.55,0.9275,-290.0,kawasaki,combined,0.1,0.7,3.4443380918682456
66,32,0.48484848484848486,0.8757575757575757,-820.0,kawasaki,combined,0.12,0.5,3.6822914151636033
61,33,0.5409836065573771,0.9426229508196722,-350.0,kawasaki,combined,0.12,0.6,3.8903315924605373
30,18,0.6,1.0166666666666666,50.0,kawasaki,combined,0.12,0.7,3.4912203245598987
51,26,0.5098039215686274,0.9098039215686274,-460.0,kawasaki,combined,0.15,0.5,3.594857030238789
46,27,0.5869565217391305,1.0913043478260869,420.0,kawasaki,combined,0.15,0.6,4.201682817518368
22,13,0.5909090909090909,1.0818181818181818,180.0,kawasaki,combined,0.15,0.7,3.392034651777898
29,14,0.4827586206896552,1.0206896551724138,60.0,kawasaki,combined,0.2,0.5,3.471566982662062
26,14,0.5384615384615384,1.0192307692307692,50.0,kawasaki,combined,0.2,0.6,3.35921834419672
14,10,0.7142857142857143,1.3785714285714286,530.0,kawasaki,combined,0.2,0.7,3.7332406343766182
353,160,0.45325779036827196,0.7403210576015108,-9166.666666666668,ohi,basic,0.0,0.5,4.345164098108478
283,120,0.42402826855123676,0.6659599528857479,-9453.333333333332,ohi,basic,0.0,0.6,3.7619906174986406
212,92,0.4339622641509434,0.7144654088050314,-6053.333333333334,ohi,basic,0.0,0.7,3.8304577988967967
303,140,0.46204620462046203,0.7619361936193619,-7213.333333333332,ohi,basic,0.03,0.5,4.356010325625907
238,99,0.41596638655462187,0.6361344537815126,-8660.0,ohi,basic,0.03,0.6,3.483767150262314
166,74,0.4457831325301205,0.7576305220883534,-4023.333333333334,ohi,basic,0.03,0.7,3.8775483241462685
262,123,0.46946564885496184,0.7709923664122137,-6000.0,ohi,basic,0.05,0.5,4.296088223282093
203,86,0.4236453201970443,0.6405582922824302,-7296.666666666666,ohi,basic,0.05,0.6,3.4065658614098995
141,58,0.41134751773049644,0.7226950354609929,-3910.0,ohi,basic,0.05,0.7,3.581551611131691
227,108,0.47577092511013214,0.7973568281938326,-4600.0,ohi,basic,0.07,0.5,4.3291258098711625
173,77,0.44508670520231214,0.6689788053949904,-5726.666666666666,ohi,basic,0.07,0.6,3.4512986510352306
124,53,0.4274193548387097,0.7010752688172044,-3706.666666666666,ohi,basic,0.07,0.7,3.385011351313012
